Tool,Version,Category,URL
"apache-users","2.1","blackarch-scanner","https://labs.portcullis.co.uk/downloads/"
"apachetomcatscanner","3.2","blackarch-scanner","https://github.com/p0dalirius/ApacheTomcatScanner"
"apacket","374.16e7036","blackarch-networking","https://github.com/Acey9/apacket"
"aphopper","0.3","blackarch-wireless","http://aphopper.sourceforge.net/"
"apkid","2.1.4","blackarch-mobile","https://github.com/rednaga/APKiD"
"apkleaks","v2.6.2.r3.g3202df9","blackarch-mobile","https://github.com/dwisiswant0/apkleaks"
"apkstat","18.81cdad3","blackarch-mobile","https://github.com/hexabin/APKStat"
"apkstudio","100.9e114ca","blackarch-reversing","http://www.vaibhavpandey.com/apkstudio/"
"apkurlgrep","8.a188a98","blackarch-mobile","https://github.com/ndelphit/apkurlgrep"
"apnbf","0.1","blackarch-wireless","http://www.c0decafe.de/"
"appmon","177.f753c4d","blackarch-mobile","https://github.com/dpnishant/appmon"
"apt2","183.8075cdc","blackarch-automation","https://github.com/MooseDojo/apt2"
"aquatone","151.f4eed57","blackarch-recon","https://github.com/shelld3v/aquatone"
"arachni","1.6.1.3.1.g8e5c5d0a9","blackarch-webapp","https://www.arachni-scanner.com"
"aranea","6.469b9ee","blackarch-spoof","https://github.com/TigerSecurity"
"arcane","2.750cb9f","blackarch-mobile","https://github.com/tokyoneon/Arcane"
"archivebox","903.59da482","blackarch-misc","https://github.com/pirate/ArchiveBox"
"ares","v0.10.0.r72.gff0af1c","blackarch-cracker","https://github.com/bee-san/Ares"
"argon2","20190702","blackarch-crypto","https://github.com/P-H-C/phc-winner-argon2"
"argus","3.0.8.2","blackarch-networking","http://qosient.com/argus/"
"argus-clients","3.0.8.2","blackarch-networking","http://qosient.com/argus/"
"arjun","2.2.7.r1.g1b251b0","blackarch-scanner","https://github.com/s0md3v/Arjun"
"armitage","150813","blackarch-exploitation","http://www.fastandeasyhacking.com/"
"armor","5.bae27a6","blackarch-exploitation","https://github.com/tokyoneon/Armor"
"armscgen","98.c51b7d6","blackarch-exploitation","https://github.com/alexpark07/ARMSCGen"
"arp-scan","1.10.0","blackarch-networking","https://github.com/royhills/arp-scan"
"arpalert","2.0.12","blackarch-networking","http://www.arpalert.org/"
"arping-th","2.25","blackarch-networking","https://github.com/ThomasHabets/arping"
"arpoison","0.7","blackarch-exploitation","http://www.arpoison.net"
"arpon","2.7","blackarch-defensive","http://arpon.sourceforge.net/"
"arpstraw","27.ab40e13","blackarch-defensive","https://github.com/he2ss/arpstraw"
"arptools","13.41cdb23","blackarch-networking","https://github.com/Lab-Zjt/ARPTools"
"arpwner","26.f300fdf","blackarch-networking","https://github.com/ntrippar/ARPwner"
"artillery","357.805a5d8","blackarch-defensive","https://www.trustedsec.com/downloads/artillery/"
"artlas","154.e5fdd8d","blackarch-defensive","https://github.com/mthbernardes/ARTLAS"
"arybo","65.89d9a42","blackarch-misc","https://github.com/quarkslab/arybo"
"asleap","2.2","blackarch-cracker","http://www.willhackforsushi.com/Asleap.html"
"asn","0.78.0","blackarch-recon","https://github.com/nitefood/asn"
"asnmap","v1.1.1.r0.g9eed841","blackarch-networking","https://github.com/projectdiscovery/asnmap"
"asp-audit","2BETA","blackarch-fingerprint","http://seclists.org/basics/2006/Sep/128"
"aspisec","0.1.0","blackarch-misc","https://noraj.github.io/aspisec/"
"assassingo","173.2dd8650","blackarch-scanner","https://github.com/AmyangXYZ/AssassinGo"
"assetfinder","19.4e95d87","blackarch-scanner","https://github.com/tomnomnom/assetfinder"
"assetnote-wordlists","158.bd3c5c2","blackarch-wordlist","https://github.com/assetnote/wordlists"
"astra","489.092804a","blackarch-webapp","https://github.com/flipkart-incubator/astra"
"atear","139.245ec8d","blackarch-wireless","https://github.com/NORMA-Inc/AtEar"
"atftp","0.8.0","blackarch-networking","https://sourceforge.net/projects/atftp/"
"athena-ssl-scanner","0.6.2","blackarch-scanner","http://packetstormsecurity.com/files/93062/Athena-SSL-Cipher-Scanner.html"
"atlas","7.77bd6c8","blackarch-webapp","https://github.com/m4ll0k/Atlas"
"atscan","2461.06521a9","blackarch-scanner","https://github.com/AlisamTechnology/ATSCAN-V3.1"
"atstaketools","0.1","blackarch-windows","http://packetstormsecurity.com/files/50718/AtStakeTools.zip.html"
"attacksurfacemapper","47.8a402ed","blackarch-recon","https://github.com/superhedgy/AttackSurfaceMapper"
"attk","2.0.1023","blackarch-scanner","https://spnsupport.trendmicro.com/"
"aurebeshjs","77.75a8fc6","blackarch-misc","https://github.com/aemkei/aurebesh.js"
"auto-eap","18.ee36d37","blackarch-wireless","https://github.com/Tylous/Auto_EAP"
"auto-xor-decryptor","7.2eb176d","blackarch-crypto","https://github.com/MRGEffitas/scripts"
"automato","33.0561b59","blackarch-automation","https://github.com/skahwah/automato"
"autonessus","24.7933022","blackarch-automation","https://github.com/redteamsecurity/AutoNessus"
"autonse","25.7c87f4c","blackarch-automation","https://github.com/m4ll0k/AutoNSE"
"autopsy","4.21.0","blackarch-forensic","https://github.com/sleuthkit/autopsy"
"autopwn","190.fc80cef","blackarch-automation","https://github.com/nccgroup/autopwn"
"autorecon","282.19cc46b","blackarch-automation","https://github.com/Tib3rius/AutoRecon"
"autosint","236.25d292c","blackarch-recon","https://github.com/bharshbarger/AutOSINT"
"autosploit","281.9a6a5ef","blackarch-exploitation","https://github.com/NullArray/AutoSploit"
"autovpn","18.28b1a87","blackarch-networking","https://github.com/adtac/autovpn"
"avaloniailspy","v7.2.rc.r10.gbc00df4","blackarch-decompiler","https://github.com/icsharpcode/AvaloniaILSpy"
"avet","133.2f1d882","blackarch-binary","https://github.com/govolution/avet"
"avml","v0.6.1.r11.g155f084","blackarch-misc","https://github.com/microsoft/avml"
"aws-extender-cli","17.a351154","blackarch-scanner","https://github.com/VirtueSecurity/aws-extender-cli"
"aws-iam-privesc","11.2983efd","blackarch-scanner","https://github.com/cyberqueenmeg/aws_iam_privesc"
"aws-inventory","19.9a2fa8e","blackarch-recon","https://github.com/nccgroup/aws-inventory"
"awsbucketdump","82.4684670","blackarch-automation","https://github.com/jordanpotti/AWSBucketDump"
"azazel","15.a41fbb5","blackarch-backdoor","https://github.com/chokepoint/azazel"
"aztarna","1.2.1","blackarch-recon","https://github.com/aliasrobotics/aztarna"
"backcookie","51.6dabc38","blackarch-backdoor","https://github.com/mrjopino/backcookie"
"backdoor-apk","141.2710126","blackarch-mobile","https://github.com/dana-at-cp/backdoor-apk"
"backdoor-factory","210.0c53045","blackarch-backdoor","https://github.com/secretsquirrel/the-backdoor-factory"
"backdoorme","308.f9755ca","blackarch-backdoor","https://github.com/Kkevsterrr/backdoorme"
"backdoorppt","88.d0e7f91","blackarch-backdoor","https://github.com/r00txp10it/backdoorppt"
"backfuzz","1.b0648de","blackarch-fuzzer","https://github.com/localh0t/backfuzz"
"backhack","39.561ec86","blackarch-mobile","https://github.com/l0gan/backHack"
"backoori","55.988e507","blackarch-exploitation","https://github.com/giuliocomi/backoori"
"backorifice","1.0","blackarch-windows","http://www.cultdeadcow.com/tools/bo.html"
"bad-pdf","61.a8149ee","blackarch-exploitation","https://github.com/deepzec/Bad-Pdf"
"badkarma","85.2c46334","blackarch-recon","https://github.com/r3vn/badKarma"
"badministration","16.69e4ec2","blackarch-webapp","https://github.com/ThunderGunExpress/BADministration"
"badsecrets","v0.6.21.r0.gbd3769a","blackarch-webapp","https://github.com/blacklanternsecurity/badsecrets"
"bagbak","313.79ca483","blackarch-mobile","https://github.com/ChiChou/bagbak"
"balbuzard","67.d6349ef1bc55","blackarch-malware","https://bitbucket.org/decalage/balbuzard/"
"bamf-framework","35.30d2b4b","blackarch-malware","https://github.com/bwall/BAMF"
"bandicoot","0.6.0","blackarch-mobile","https://pypi.org/project/bandicoot/#files"
"bandit","1.7.10","blackarch-code-audit","https://github.com/PyCQA/bandit"
"barf","923.9547ef8","blackarch-binary","https://github.com/programa-stic/barf-project"
"barmie","1.01","blackarch-scanner","https://github.com/NickstaDB/BaRMIe"
"barq","35.6f1a68c","blackarch-exploitation","https://github.com/Voulnet/barq"
"base64dump","0.0.14","blackarch-misc","https://blog.didierstevens.com/my-software/#base64dump"
"basedomainname","0.1","blackarch-recon","http://www.morningstarsecurity.com/research"
"bashfuscator","338.7487348","blackarch-automation","https://github.com/Bashfuscator/Bashfuscator"
"bashscan","94.80c066c","blackarch-scanner","https://github.com/astryzia/BashScan"
"batctl","2023.1","blackarch-wireless","http://www.open-mesh.net/"
"batman-adv","2019.2","blackarch-wireless","http://www.open-mesh.net/"
"batman-alfred","2024.3","blackarch-wireless","http://www.open-mesh.org/"
"bbqsql","261.b9859d2","blackarch-webapp","https://github.com/neohapsis/bbqsql"
"bbscan","52.6731879","blackarch-webapp","https://github.com/lijiejie/bbscan"
"bdfproxy","107.276c367","blackarch-proxy","https://github.com/secretsquirrel/BDFProxy"
"bdlogparser","2","blackarch-malware","http://magikh0e.xyz/"
"bed","0.5","blackarch-exploitation","http://www.aldeid.com/wiki/Bed"
"beebug","25.cddb375","blackarch-decompiler","https://github.com/invictus1306/beebug"
"beef","4605.33717fcc","blackarch-exploitation","http://beefproject.com/"
"beeswarm","1183.db51ea0","blackarch-honeypot","https://github.com/honeynet/beeswarm/"
"beholder","0.8.10","blackarch-wireless","http://www.beholderwireless.org/"
"belati","72.49577a1","blackarch-scanner","https://github.com/aancw/Belati"
"beleth","36.0963699","blackarch-cracker","https://github.com/chokepoint/Beleth"
"beroot","1.0.1.r109.g4c0b648","blackarch-exploitation","https://github.com/AlessandroZ/BeRoot"
"bettercap","2.33.0","blackarch-sniffer","https://github.com/bettercap/bettercap"
"bettercap-ui","1.3.0","blackarch-misc","https://github.com/bettercap/ui"
"bfac","53.18fb0b5","blackarch-recon","https://github.com/mazen160/bfac"
"bfbtester","2.0.1","blackarch-exploitation","http://sourceforge.net/projects/bfbtester/"
"bfuzz","60.fdaefc0","blackarch-fuzzer","https://github.com/RootUp/BFuzz"
"bgp-md5crack","0.1","blackarch-cracker","http://www.c0decafe.de/"
"bgrep","24.28029c9","blackarch-binary","https://github.com/tmbinc/bgrep"
"billcipher","32.97fba59","blackarch-recon","https://github.com/GitHackTools/BillCipher"
"binaryninja","4.1.5902","blackarch-reversing","http://binary.ninja/demo.html"
"binaryninja-python","13.83f59f7","blackarch-binary","https://github.com/Vector35/binaryninja-python"
"bind","9.20.3","blackarch-networking","https://www.isc.org/software/bind/"
"bindead","4504.67019b97b","blackarch-binary","https://bitbucket.org/mihaila/bindead"
"bindiff","6.0.0","blackarch-binary","http://www.zynamics.com/bindiff.html"
"binex","1.0","blackarch-exploitation","http://www.morxploit.com/morxtool"
"binflow","5.7fb02a9","blackarch-binary","https://github.com/elfmaster/binflow"
"bing-ip2hosts","1.0.5","blackarch-recon","http://www.morningstarsecurity.com/research/bing-ip2hosts"
"bing-lfi-rfi","0.1","blackarch-webapp","http://packetstormsecurity.com/files/121590/Bing-LFI-RFI-Scanner.html"
"bingoo","3.698132f","blackarch-scanner","https://github.com/Hood3dRob1n/BinGoo"
"binnavi","6.1.0","blackarch-disassembler","https://github.com/google/binnavi"
"binproxy","8.d02fce9","blackarch-proxy","https://github.com/nccgroup/BinProxy/"
"binwalk","3.1.0","blackarch-disassembler","https://github.com/ReFirmLabs/binwalk"
"binwally","4.0aabd8b","blackarch-binary","https://github.com/bmaia/binwally"
"bios_memimage","1.2","blackarch-cracker","http://citp.princeton.edu/memory/code/"
"birp","65.b2e108a","blackarch-scanner","https://github.com/sensepost/birp"
"bitdump","34.6a5cbd8","blackarch-exploitation","https://github.com/nbshelton/bitdump"
"bittwist","2.0","blackarch-sniffer","http://bittwist.sourceforge.net/"
"bkcrack","v1.7.0.r8.g834278a","blackarch-cracker","https://github.com/kimci86/bkcrack"
"bkhive","1.1.1","blackarch-cracker","http://sourceforge.net/projects/ophcrack"
"blackbox-scanner","1.7a25220","blackarch-scanner","https://github.com/sepehrdaddev/blackbox"
"blackeye","v2.0.r0.g27a3f04","blackarch-social","https://github.com/Git-Ankitraj/blackeye-im"
"blackhash","0.2","blackarch-cracker","http://16s.us/blackhash/"
"blacknurse","9.d2a2b23","blackarch-dos","https://github.com/jedisct1/blacknurse"
"bleah","53.6a2fd3a","blackarch-scanner","https://github.com/evilsocket/bleah"
"bless","0.6.3","blackarch-misc","https://github.com/afrantzis/bless"
"bletchley","0.0.1","blackarch-crypto","https://code.google.com/p/bletchley/"
"blind-sql-bitshifting","54.5bbc183","blackarch-exploitation","https://github.com/libeclipse/blind-sql-bitshifting"
"blindelephant","7","blackarch-fingerprint","http://blindelephant.sourceforge.net/"
"blindsql","1.0","blackarch-database","http://www.enye-sec.org/programas.html"
"blindy","12.59de8f2","blackarch-scanner","https://github.com/missDronio/blindy"
"blisqy","20.e9995fc","blackarch-webapp","https://github.com/JohnTroony/Blisqy"
"bloodhound","v4.3.1.r41.g0d36459","blackarch-recon","https://github.com/BloodHoundAD/BloodHound"
"bloodhound-python","v1.0.1.r151.ge8b0b7a","blackarch-recon","https://github.com/fox-it/BloodHound.py"
"bloodyad","201.7d85ffe","blackarch-exploitation","https://github.com/CravateRouge/bloodyAD"
"blue-hydra","710.1c2372d","blackarch-bluetooth","https://github.com/pwnieexpress/blue_hydra"
"bluebox-ng","1.1.0","blackarch-voip","https://github.com/jesusprubio/bluebox-ng"
"bluebugger","0.1","blackarch-bluetooth","http://packetstormsecurity.com/files/54024/bluebugger.1.tar.gz.html"
"bluediving","0.9","blackarch-bluetooth","http://bluediving.sourceforge.net/"
"bluefog","0.0.4","blackarch-bluetooth",""
"bluelog","1.1.2","blackarch-bluetooth","http://www.digifail.com/software/bluelog.shtml"
"bluepot","0.2","blackarch-bluetooth","https://github.com/andrewmichaelsmith/bluepot"
"blueprint","0.1_3","blackarch-bluetooth","https://trifinite.org/trifinite_stuff_blueprinting.html"
"blueranger","1.0","blackarch-automation","http://www.hackfromacave.com/projects/blueranger.html"
"bluescan","1.0.6","blackarch-bluetooth","http://www.darknet.org.uk/2015/01/bluescan-bluetooth-device-scanner/"
"bluesnarfer","0.1","blackarch-bluetooth","http://www.alighieri.org/project.html"
"bluffy","47.180ed5b","blackarch-exploitation","https://github.com/ad/bluffy"
"bluphish","9.a7200bd","blackarch-bluetooth","https://github.com/olivo/BluPhish"
"bluto","142.25cad7a","blackarch-scanner","https://github.com/RandomStorm/Bluto"
"bmap-tools","3.7","blackarch-forensic","http://git.infradead.org/users/dedekind/bmap-tools.git"
"bmc-tools","25.c66a657","blackarch-forensic","https://github.com/ANSSI-FR/bmc-tools"
"bob-the-butcher","0.7.1","blackarch-cracker","http://btb.banquise.net/"
"bof-detector","19.e08367d","blackarch-code-audit","https://github.com/st9140927/BOF_Detector"
"bonesi","12.733c9e9","blackarch-dos","https://github.com/Markus-Go/bonesi"
"boofuzz","v0.4.2.r20.gec4dfb5","blackarch-fuzzer","https://github.com/jtpereyda/boofuzz"
"boopsuite","170.16c902f","blackarch-wireless","https://github.com/M1ND-B3ND3R/BoopSuite"
"bopscrk","v2.4.7.r2.g7eede16","blackarch-automation","https://github.com/R3nt0n/bopscrk"
"botb","69.6d33aae","blackarch-exploitation","https://github.com/brompwnie/botb"
"bowcaster","230.17d69c1","blackarch-exploitation","https://github.com/zcutlip/bowcaster"
"box-js","679.4d09755","blackarch-malware","https://github.com/CapacitorSet/box-js"
"bqm","v1.5.1.r5.ge287280","blackarch-misc","https://github.com/Acceis/bqm"
"braa","0.82","blackarch-scanner","http://s-tech.elsat.net.pl/braa/"
"braces","0.4","blackarch-bluetooth","http://braces.shmoo.com/"
"brakeman","v6.2.2.r7.g88994b8fe","blackarch-code-audit","https://brakemanscanner.org/"
"breads","129.dc012d7","blackarch-windows","https://github.com/oppsec/breads"
"bridgekeeper","57.55c390c","blackarch-recon","https://github.com/0xZDH/BridgeKeeper"
"brosec","278.c51164f","blackarch-exploitation","https://github.com/gabemarshall/Brosec"
"browselist","1.4","blackarch-windows","https://vidstromlabs.com/browselist/"
"browser-fuzzer","3","blackarch-fuzzer","http://www.krakowlabs.com/dev.html"
"brute-force","52.78d1d8e","blackarch-cracker","https://github.com/Matrix07ksa/Brute_Force"
"brute12","1","blackarch-windows","http://www.security-projects.com/?Brute12"
"bruteforce-luks","54.788d637","blackarch-cracker","https://github.com/glv2/bruteforce-luks"
"bruteforce-salted-openssl","64.30b272e","blackarch-cracker","https://github.com/glv2/bruteforce-salted-openssl"
"bruteforce-wallet","43.648d7d7","blackarch-cracker","https://github.com/glv2/bruteforce-wallet"
"brutemap","65.da4b303","blackarch-webapp","https://github.com/brutemap-dev/brutemap"
"brutespray","407.947d7b5","blackarch-automation","https://github.com/x90skysn3k/brutespray"
"brutessh","0.6","blackarch-cracker","http://www.edge-security.com/edge-soft.php"
"brutex","114.eacd084","blackarch-automation","https://github.com/1N3/BruteX"
"brutexss","54.ba753df","blackarch-webapp","https://github.com/shawarkhanethicalhacker/BruteXSS"
"brutus","2","blackarch-windows","http://www.hoobie.net/brutus/"
"bsdiff","4.3","blackarch-binary","https://www.daemonology.net/bsdiff/"
"bsqlbf","2.7","blackarch-webapp","http://code.google.com/p/bsqlbf-v2/"
"bsqlinjector","13.027184f","blackarch-webapp","https://github.com/enjoiz/BSQLinjector"
"bss","0.8","blackarch-bluetooth","http://www.secuobs.com/news/15022006-bss_0_8.shtml"
"bt_audit","0.1.1","blackarch-bluetooth","http://www.betaversion.net/btdsd/download/"
"btcrack","1.1","blackarch-bluetooth","http://www.nruns.com/_en/security_tools_btcrack.php"
"btlejack","88.c487859","blackarch-bluetooth","https://github.com/virtualabs/btlejack"
"btproxy-mitm","71.cd1c906","blackarch-bluetooth","https://github.com/conorpp/btproxy"
"btscanner","2.1","blackarch-bluetooth","http://www.pentest.co.uk"
"bulk-extractor","1562.1c67a75","blackarch-forensic","https://github.com/simsong/bulk_extractor"
"bully","1.4.00","blackarch-wireless","https://github.com/kimocoder/bully"
"bunny","0.93","blackarch-fuzzer","https://code.google.com/p/bunny-the-fuzzer/"
"burpsuite","2024.10.1","blackarch-webapp","https://portswigger.net/burp/releases"
"buster","92.131437e","blackarch-social","https://github.com/sham00n/buster"
"buttinsky","138.1a2a1b2","blackarch-networking","https://github.com/buttinsky/buttinsky"
"bvi","1.4.2","blackarch-binary","http://bvi.sourceforge.net/"
"byepass","213.8cbfd9b","blackarch-automation","https://github.com/webpwnized/byepass"
"bypass-firewall-dns-history","33.c55b7ce","blackarch-networking","https://github.com/vincentcox/bypass-firewalls-by-DNS-history"
"bytecode-viewer","2.12","blackarch-binary","https://github.com/Konloch/bytecode-viewer"
"c5scan","30.be8845c","blackarch-webapp","https://github.com/auraltension/c5scan"
"c7decrypt","0.3.3","blackarch-crypto","https://github.com/claudijd/c7decrypt"
"cachedump","1.1","blackarch-windows","https://packetstormsecurity.com/files/36781/cachedump.1.zip.html"
"cadaver","0.24","blackarch-networking","https://notroj.github.io/cadaver/"
"cafebabe","0.1.2","blackarch-decompiler","https://grax.info/"
"cameradar","195.1b91e54","blackarch-scanner","https://github.com/Ullaakut/cameradar"
"camover","94.483befd","blackarch-exploitation","https://github.com/EntySec/camover"
"camscan","1.0057215","blackarch-scanner","https://github.com/securestate/camscan"
"can-utils","1124.d05810f","blackarch-automobile","https://github.com/linux-can/can-utils"
"canalyzat0r","41.6bc251e","blackarch-automobile","https://github.com/schutzwerk/CANalyzat0r"
"canari","3.3.10","blackarch-forensic","https://pypi.org/project/canari/#files"
"cangibrina","123.6de0165","blackarch-scanner","https://github.com/fnk0c/cangibrina"
"cansina","59.67c6301","blackarch-webapp","https://github.com/deibit/cansina"
"cantoolz","425.82d330b","blackarch-automobile","https://github.com/CANToolz/CANToolz"
"capa","7.4.0","blackarch-defensive","https://github.com/mandiant/capa"
"capfuzz","34.97ac312","blackarch-sniffer","https://github.com/MobSF/CapFuzz"
"capstone","5.0.3","blackarch-reversing","https://www.capstone-engine.org/index.html"
"captipper","74.3fb2836","blackarch-forensic","http://www.omriher.com/2015/01/captipper-malicious-http-traffic.html"
"cardpwn","32.166abf9","blackarch-social","https://github.com/itsmehacker/CardPwn"
"cariddi","v1.3.5.r11.g589ba66","blackarch-webap","https://github.com/edoardottt/cariddi"
"carwhisperer","0.2","blackarch-bluetooth","http://trifinite.org/trifinite_stuff_carwhisperer.html"
"casefile","1.0.1","blackarch-forensic","http://www.paterva.com/web6/products/casefile.php"
"catana","31.9ea1f0d","blackarch-misc","https://github.com/D3vil0p3r/catana"
"catnthecanary","7.e9184fe","blackarch-recon","https://github.com/packetassailant/catnthecanary"
"catphish","44.768d213","blackarch-social","https://github.com/ring0lab/catphish"
"ccrawldns","6.92525b6","blackarch-recon","https://github.com/lgandx/CCrawlDNS"
"cdpsnarf","0.1.6","blackarch-sniffer","https://github.com/Zapotek/cdpsnarf"
"cecster","5.15544cb","blackarch-scanner","https://github.com/nccgroup/CECster"
"cent","v1.3.4.r2.g481700c","blackarch-webapp","https://github.com/xm1k3/cent"
"centry","72.6de2868","blackarch-misc","https://github.com/0xPoly/Centry"
"cero","v1.3.0.r19.gb73125b","blackarch-scanner","https://github.com/glebarez/cero"
"certgraph","172.465bddc","blackarch-recon","https://github.com/lanrat/certgraph"
"certi","6.6cfa656","blackarch-windows","https://github.com/zer1t0/certi"
"certipy","4.8.2.r0.g2780d53","blackarch-windows","https://github.com/ly4k/Certipy"
"certsync","0.1.6","blackarch-exploitation","https://github.com/zblurx/certsync"
